Time in s;CH 2 BITBUS;Time in 250ns TICS;Delta TICs;TIME in ps;Delta in ps;;
0.021707567;1;86830;10;21707567;2632;"#2632 com_rxin = 1;";
0.021710267;0;86841;11;21710267;2700;"#2700 com_rxin = 0;";
0.021712899;1;86852;11;21712899;2632;"#2632 com_rxin = 1;";
0.021715603;0;86862;10;21715603;2704;"#2704 com_rxin = 0;";
0.021718231;1;86873;11;21718231;2628;"#2628 com_rxin = 1;";
0.021720935;0;86884;11;21720935;2704;"#2704 com_rxin = 0;";
0.021723567;1;86894;10;21723567;2632;"#2632 com_rxin = 1;";
0.021726267;0;86905;11;21726267;2700;"#2700 com_rxin = 0;";
0.021728899;1;86916;11;21728899;2632;"#2632 com_rxin = 1;";
0.021731599;0;86926;10;21731599;2700;"#2700 com_rxin = 0;";
0.021734231;1;86937;11;21734231;2632;"#2632 com_rxin = 1;";
0.021736931;0;86948;11;21736931;2700;"#2700 com_rxin = 0;";
0.021739563;1;86958;10;21739563;2632;"#2632 com_rxin = 1;";
0.021742267;0;86969;11;21742267;2704;"#2704 com_rxin = 0;";
0.021744899;1;86980;11;21744899;2632;"#2632 com_rxin = 1;";
0.021747599;0;86990;10;21747599;2700;"#2700 com_rxin = 0;";
0.021750231;1;87001;11;21750231;2632;"#2632 com_rxin = 1;";
